state,state_capital,state_capital_latitude,state_capital_longitude,state_capital_point,is_capital_state
Abyei PCA,Abyei Town,09°35′44″N,28°26′13″E,"(9.595555555555556, 28.436944444444446)",0
Aj Jazirah,Wad Madani,14°24′N,33°31′E,"(14.4, 33.516666666666666)",0
Blue Nile,Ad-Damazin,11°46′N,34°21′E,"(11.766666666666667, 34.35)",0
Central Darfur,Zalingei,12°54′N,23°29′E,"(12.9, 23.483333333333334)",0
East Darfur,Ed Daein,11°27′39″N,26°7′42″E,"(11.460833333333333, 26.128333333333334)",0
Gedaref,El-Gadarif,14°02′N,35°23′E,"(14.033333333333333, 35.38333333333333)",0
Kassala,Kassala,15°27′N,36°24′E,"(15.45, 36.4)",0
Khartoum,Khartoum,15°36′N,32°30′E,"(15.6, 32.5)",1
North Darfur,Al-Fashir,13°37′50″N,25°21′0″E,"(13.630555555555556, 25.35)",0
North Kordofan,El-Obeid,13°11′N,30°13′E,"(13.183333333333334, 30.216666666666665)",0
Northern,Dongola,19°10′11.37″N,30°28′29.62″E,"(19.169825, 30.47489444444444)",0
Red Sea,Port Sudan,19°37′N,37°13′E,"(19.616666666666667, 37.21666666666667)",0
River Nile,Ad-Damir,17°35′24″N,33°57′36″E,"(17.59, 33.96)",0
Sennar,Singa,13°09′N,33°56′E,"(13.15, 33.93333333333333)",0
South Darfur,Nyala,12°2′11″N,24°52′37″E,"(12.036388888888888, 24.876944444444444)",0
South Kordofan,Kaduqli,11°1′0″N,29°43′0″E,"(11.016666666666667, 29.716666666666665)",0
West Darfur,Geneina,13°27′N,22°27′E,"(13.45, 22.45)",0
West Kordofan,Al-Fulah,11.71754°N,28.340006°E,"(11.71754, 28.340006)",0
White Nile,Rabak,13.185°N,32.744°E,"(13.185, 32.744)",0